set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
75138-1,Hoth Attack,Licensed,Star Wars,Episode V,2016.0,233.0,4.0,24.99,26.0,19.0,4.0,3.0
75139-1,Battle on Takodana,Licensed,Star Wars,The Force Awakens,2016.0,409.0,5.0,59.99,37.0,26.0,3.7,6.0
75140-1,Resistance Troop Transporter,Licensed,Star Wars,The Force Awakens,2016.0,646.0,4.0,69.99,48.0,40.0,4.0,5.0
75141-1,Kanan's Speeder Bike,Licensed,Star Wars,Rebels,2016.0,234.0,3.0,19.99,25.0,14.0,4.3,4.0
75142-1,Homing Spider Droid,Licensed,Star Wars,Episode III,2016.0,310.0,5.0,29.99,37.0,34.0,3.7,3.0
75145-1,Eclipse Fighter,Licensed,Star Wars,Original Content,2016.0,363.0,2.0,29.99,27.0,18.0,4.0,3.0
75146-1,Star Wars Advent Calendar,Licensed,Star Wars,Seasonal,2016.0,282.0,10.0,39.99,26.0,22.0,4.5,2.0
75147-1,StarScavenger,Licensed,Star Wars,Original Content,2016.0,558.0,4.0,49.99,39.0,30.0,3.0,1.0
75148-1,Encounter on Jakku,Licensed,Star Wars,The Force Awakens,2016.0,530.0,4.0,59.99,34.0,26.0,4.3,4.0
75149-1,Resistance X-wing Fighter,Licensed,Star Wars,The Force Awakens,2016.0,740.0,4.0,79.99,70.0,53.0,4.4,5.0
75150-1,Vader's TIE Advanced vs. A-wing Starfighter,Licensed,Star Wars,Rebels,2016.0,702.0,4.0,89.99,78.0,33.0,4.4,5.0
75151-1,Clone Turbo Tank,Licensed,Star Wars,Episode III,2016.0,903.0,6.0,109.99,102.0,79.0,4.5,4.0
75152-1,Imperial Assault Hovertank,Licensed,Star Wars,Rogue One,2016.0,385.0,3.0,29.99,36.0,27.0,4.8,10.0
75153-1,AT-ST Walker,Licensed,Star Wars,Rogue One,2016.0,449.0,3.0,39.99,49.0,38.0,4.7,10.0
75154-1,TIE Striker,Licensed,Star Wars,Rogue One,2016.0,543.0,4.0,69.99,57.0,38.0,4.6,5.0
75155-1,Rebel U-wing Fighter,Licensed,Star Wars,Rogue One,2016.0,659.0,5.0,79.99,67.0,49.0,4.7,9.0
75156-1,Krennic's Imperial Shuttle,Licensed,Star Wars,Rogue One,2016.0,863.0,6.0,89.99,79.0,59.0,4.6,8.0
75157-1,Captain Rex's AT-TE,Licensed,Star Wars,Rebels,2016.0,972.0,5.0,119.99,89.0,69.0,4.0,2.0
75158-1,Rebel Combat Frigate,Licensed,Star Wars,Rebels,2016.0,936.0,5.0,109.99,109.0,81.0,4.5,2.0
