set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
2151-1,Robo Raider,12.0,16.0,35.1,Action/Adventure,1997.0,139,72,6,Black,Gray
2152-1,Robo Raptor,20.0,20.0,25.799999999999997,Action/Adventure,1997.0,225,80,7,Black,Gray
2153-1,Robo Stalker,30.0,32.0,14.0,Action/Adventure,1997.0,279,102,9,Black,Gray
2154-1,Robo Master,36.0,49.0,19.0,Action/Adventure,1997.0,363,121,10,Black,Gray
2160-1,Crystal Scavenger,15.0,17.0,19.2,Action/Adventure,1997.0,114,60,8,Black,Green
2161-1,Aqua Dozer,25.0,22.0,28.799999999999997,Action/Adventure,1997.0,135,59,7,Black,Green
2162-1,Hydro Reef Wrecker,40.0,44.0,12.0,Action/Adventure,1997.0,287,113,9,Black,Green
2886-1,Formula 1 Racing Car,2.0,3.0,19.0,Modern day,1997.0,25,16,3,Black,Yellow
5561-1,Big Foot 4 x 4,88.0,146.0,5.0,Model making,1997.0,760,225,11,Gray,White
6007-1,Bat Lord,4.5,12.0,57.39999999999999,Historical,1997.0,16,15,8,Black,Transparent
6027-1,Bat Lord's Catapult,6.75,11.0,24.0,Historical,1997.0,56,44,8,Black,Red
6037-1,Witch's Windship,8.0,16.0,16.0,Historical,1997.0,60,33,10,Red,Black
6087-1,Witch's Magic Manor,44.0,58.0,27.900000000000002,Historical,1997.0,256,126,14,Gray,Black
6097-1,Night Lord's Castle,80.0,104.0,67.2,Historical,1997.0,609,194,16,Gray,Black
6099-1,Traitor Transport,20.0,80.0,14.100000000000001,Historical,1997.0,147,82,12,Gray,Black
6204-1,Buccaneers,6.0,39.0,9.0,Historical,1997.0,43,33,11,White,Yellow
6249-1,Pirates Ambush,22.0,88.0,17.2,Historical,1997.0,160,73,9,Black,Brown
6250-1,Cross Bone Clipper,33.0,209.0,14.0,Historical,1997.0,160,96,9,Black,Red
6281-1,Pirates Perilous Pitfall,73.0,225.0,18.0,Historical,1997.0,406,183,12,Black,Gray
